ID,LAND_NR,Partei_NR,Partei_ABK,Name,Titel,Vorname,Nachname,Jahrgang,Geschlecht,Kandidatur,LP,WKR_NR,BereitsMdB,MdB_2021,Einzug,Prozent,erneut,TW_acc,TW_user,TW_id,TW_verif,FB_acc,FB_user,FB_id,FB_typ,FB_verif
2958,15,1,CDU,"Kühne, Claus-Christian",,Claus-Christian,Kühne,1971,2,1,11,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
2959,3,1,CDU,"Kühne, Dr. Roy",Dr.,Roy,Kühne,1967,2,3,23,52,1,0,0,'null',0,1,Dr_Roy_Kuehne,1906911697,1,1,drroykuehne,1027805840692678,1,1
2960,12,2,SPD,"Kuhne, Finn Ammon",,"Finn Ammon",Kuhne,1997,2,1,13,NA,0,0,0,'null',0,1,KuhneFinn,1351640581123026945,2,1,kuhnefinn,112501393983964,1,2
2961,5,3,AfD,"Kühne, Frederick",,Frederick,Kühne,1972,2,2,NA,103,0,0,0,'null',0,1,99Thesen,178544586,2,0,'null','null',0,0
2962,13,21,DKP,"Kühne, Robert",,Robert,Kühne,1987,2,1,1,NA,0,0,0,'null',0,1,KommiKuehne,775060534735597568,2,1,100009297127825,100009297127825,3,2
2963,13,24,"Die Humanisten","Kühnel, Tom",,Tom,Kühnel,2002,2,1,1,NA,0,0,0,'null',0,1,t7pdh,695532045058101249,2,0,'null','null',0,0
2964,9,6,GRÜNE,"Kuhnert, Eveline",,Eveline,Kuhnert,1961,1,1,59,NA,0,0,0,'null',0,0,'null','null',0,1,eveline.kuhnert.3,100008703852505,3,2
2965,11,2,SPD,"Kühnert, Kevin",,Kevin,Kühnert,1989,2,3,3,81,0,1,1,"27,1",0,1,KuehniKev,2764750474,1,1,KuehnertKevin,947558118729088,1,1
2966,3,40,Volt,"Kuhnert, Maximilian Simon Noah",,"Maximilian Simon Noah",Kuhnert,2002,2,1,14,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
2967,3,3,AfD,"Kühnlenz, Holger Uwe",,"Holger Uwe",Kühnlenz,1961,2,2,NA,25,0,0,0,'null',0,0,'null','null',0,1,holger.kuhnlenz,100001236882181,3,2
2968,7,38,"Team Todenhöfer","Külekci, Ceyda",,Ceyda,Külekci,1994,1,1,8,NA,0,0,0,'null',0,0,'null','null',0,1,ceyda.kulekci.9,100025188608805,3,2
2969,8,4,FDP,"Kulitz, Christian Alexander",,"Christian Alexander",Kulitz,1981,2,3,26,291,1,0,0,'null',0,1,AKulitz,1743275384,1,1,Alexander.Kulitz,232363686957754,1,1
2970,7,18,MLPD,"Kullmann, Marita",,Marita,Kullmann,1964,1,1,3,NA,0,0,0,'null',0,0,'null','null',0,1,marita.kullmann.5,100000206786412,3,2
2971,14,9,"Die PARTEI","Kumbernuß, Thomas",,Thomas,Kumbernuß,1971,2,2,NA,153,0,0,0,'null',0,0,'null','null',0,1,JeSuisKuno,100009046743140,3,2
2972,5,21,DKP,"Kummer, Diana",,Diana,Kummer,1986,1,2,NA,120,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
2973,11,6,GRÜNE,"Künast, Renate Elly",,"Renate Elly",Künast,1955,1,3,3,81,1,1,2,'null',1,1,RenateKuenast,1425265488,1,1,renate.kuenast,90022819050,1,1
2974,12,5,"DIE LINKE","Kunath, Stefan",,Stefan,Kunath,1989,2,3,4,63,0,0,0,'null',0,1,stefan_kunath,1408382792766005249,1,1,stefan.kunath.linke,105717991282071,1,1
2975,4,38,"Team Todenhöfer","Kündes, Memet",,Memet,Kündes,1974,2,1,6,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
2976,3,48,"EB: Kunick","Kunick, Angela Vera",,"Angela Vera",Kunick,1953,1,2,NA,45,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
2977,3,48,"EB: Kunick","Kunick, Peter Volker",,"Peter Volker",Kunick,1956,2,3,7,51,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
2978,9,28,dieBasis,"Kunisch, Walter",,Walter,Kunisch,1952,2,2,NA,239,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
2979,12,38,"Team Todenhöfer","Kunitz, Rita",,Rita,Kunitz,1964,1,1,2,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
2980,5,11,NPD,"Kunkel, Willibert",,Willibert,Kunkel,1950,2,1,7,NA,0,0,0,'null',0,0,'null','null',0,1,100008987465629,100008987465629,3,2
2981,9,13,ÖDP,"Künkele, Dr. Ute",Dr.,Ute,Künkele,1954,1,1,31,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
2982,9,48,"EB: Kunstmann","Kunstmann, Adam",,Adam,Kunstmann,1976,2,2,NA,242,0,0,0,'null',0,1,adamkunstmann1,3717906443,2,1,Internationale-Europäische-Deutsche-Löwen-Partei-IEDLP-2266716670047249,2266716670047249,1,2
2983,7,6,GRÜNE,"Kunte, Dr. Michael",Dr.,Michael,Kunte,1978,2,3,12,209,0,0,0,'null',0,0,'null','null',0,1,michaelkunte.gruene,109310441379882,1,2
2984,13,18,MLPD,"Kunze, Hermann Stephan",,"Hermann Stephan",Kunze,1957,2,1,8,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
2985,10,40,Volt,"Künzel, Nicolas",,Nicolas,Künzel,1993,2,1,1,NA,0,0,0,'null',0,1,kuenzel_nicolas,1393251555579674626,2,1,nicolas.kunzel,1800726201,3,2
2986,15,5,"DIE LINKE","Künzel, Sabine",,Sabine,Künzel,1962,1,1,9,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
2987,3,4,FDP,"Künzle, Claus Alexander",,"Claus Alexander",Künzle,1985,2,3,23,35,0,0,0,'null',0,1,derblaueClaus,114544941,1,1,alexander.kuenzle,1382308309,3,2
2988,2,9,"Die PARTEI","Kupsa, Benjamin",,Benjamin,Kupsa,1985,2,1,6,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
2989,15,40,Volt,"Kurley, Lara Mareen Rose",,"Lara Mareen Rose",Kurley,2002,1,1,4,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
2990,9,9,"Die PARTEI","Kurschat, Roland",,Roland,Kurschat,1986,2,2,NA,252,0,0,0,'null',0,0,'null','null',0,1,rolandkurschat,104685900976597,1,2
2991,3,38,"Team Todenhöfer","Kurt, Bedia",,Bedia,Kurt,2000,1,1,1,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
2992,5,6,GRÜNE,"Kurth, Markus",,Markus,Kurth,1966,2,3,22,142,1,1,2,'null',1,1,markuskurthmdb,150188536,1,1,mdb.markuskurth,100160987153482,1,1
2993,16,4,FDP,"Kurth, Patrick",,Patrick,Kurth,1976,2,3,9,189,0,0,0,'null',0,1,Patrick_Kurth,19149087,1,1,patrick.kurth,1242998617,2,1
2994,9,16,BP,"Kurz, Heinrich",,Heinrich,Kurz,1990,2,1,17,NA,0,0,0,'null',0,0,'null','null',0,1,heinal,100001137315940,3,2
2995,11,34,LKR,"Kurz, Ulf",,Ulf,Kurz,1970,2,1,6,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
2996,9,7,CSU,"Kurzmaier, Tobias Georg",,"Tobias Georg",Kurzmaier,1976,2,1,61,NA,0,0,0,'null',0,1,kurzmaier,391885439,2,1,tobias.kurzmaier,1030006983,3,2
2997,9,28,dieBasis,"Kuschel, Stefan Heinz",,"Stefan Heinz",Kuschel,1982,2,3,39,246,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
2998,15,18,MLPD,"Kuske, Monika Beate",,"Monika Beate",Kuske,1957,1,1,2,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
2999,12,13,ÖDP,"Kutschick, Roman",,Roman,Kutschick,1963,2,2,NA,59,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
3000,4,9,"Die PARTEI","Kutschke, Fabian",,Fabian,Kutschke,1989,2,1,13,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
3001,14,9,"Die PARTEI","Küttner, Robert",,Robert,Küttner,1988,2,2,NA,159,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
3002,11,38,"Team Todenhöfer","Kwiatkowski, Christian Pawel Dzuljano",,"Christian Pawel Dzuljano",Kwiatkowski,1996,2,1,8,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
3003,8,18,MLPD,"Kyas, Roberto",,Roberto,Kyas,1961,2,1,15,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
